time;location;status
480;GOOGLE-CLOUD;1
483;GOOGLE-CLOUD;1
485;GOOGLE-CLOUD;1
487;GOOGLE-CLOUD;1
489;GOOGLE-CLOUD;1
492;GOOGLE-CLOUD;1
494;GOOGLE-CLOUD;1
496;GOOGLE-CLOUD;1
498;GOOGLE-CLOUD;1
501;GOOGLE-CLOUD;1
503;GOOGLE-CLOUD;1
505;GOOGLE-CLOUD;1
507;GOOGLE-CLOUD;1
510;GOOGLE-CLOUD;1
512;GOOGLE-CLOUD;1
514;GOOGLE-CLOUD;1
516;GOOGLE-CLOUD;1
519;GOOGLE-CLOUD;1
521;GOOGLE-CLOUD;1
523;GOOGLE-CLOUD;1
525;GOOGLE-CLOUD;1
528;GOOGLE-CLOUD;1
530;GOOGLE-CLOUD;1
532;GOOGLE-CLOUD;1
534;GOOGLE-CLOUD;1
537;GOOGLE-CLOUD;1
539;GOOGLE-CLOUD;1
541;GOOGLE-CLOUD;1
543;GOOGLE-CLOUD;1
545;GOOGLE-CLOUD;1
548;GOOGLE-CLOUD;1
550;GOOGLE-CLOUD;1
552;GOOGLE-CLOUD;1
555;AZURE-CLOUD;1
557;GOOGLE-CLOUD;1
559;AZURE-CLOUD;1
562;GOOGLE-CLOUD;1
564;AZURE-CLOUD;1
566;AZURE-CLOUD;1
569;AZURE-CLOUD;1
571;GOOGLE-CLOUD;1
573;GOOGLE-CLOUD;1
576;GOOGLE-CLOUD;1
578;GOOGLE-CLOUD;1
580;AZURE-CLOUD;1
583;AZURE-CLOUD;1
585;GOOGLE-CLOUD;1
587;AZURE-CLOUD;1
589;GOOGLE-CLOUD;1
592;GOOGLE-CLOUD;1
594;AZURE-CLOUD;1
596;GOOGLE-CLOUD;1
599;GOOGLE-CLOUD;1
601;AZURE-CLOUD;1
603;AZURE-CLOUD;1
605;AZURE-CLOUD;1
608;AZURE-CLOUD;1
610;AZURE-CLOUD;1
613;AZURE-CLOUD;1
615;GOOGLE-CLOUD;1
618;AZURE-CLOUD;1
620;GOOGLE-CLOUD;1
622;GOOGLE-CLOUD;1
624;AZURE-CLOUD;1
627;GOOGLE-CLOUD;1
629;AZURE-CLOUD;1
631;AZURE-CLOUD;1
634;AZURE-CLOUD;1
636;AZURE-CLOUD;1
638;AZURE-CLOUD;1
641;AZURE-CLOUD;1
643;GOOGLE-CLOUD;1
645;GOOGLE-CLOUD;1
647;GOOGLE-CLOUD;1
650;AZURE-CLOUD;1
652;GOOGLE-CLOUD;1
654;AZURE-CLOUD;1
656;GOOGLE-CLOUD;1
659;AZURE-CLOUD;1
661;GOOGLE-CLOUD;1
663;GOOGLE-CLOUD;1
665;GOOGLE-CLOUD;1
668;AZURE-CLOUD;1
670;AZURE-CLOUD;1
673;AZURE-CLOUD;1
675;GOOGLE-CLOUD;1
677;GOOGLE-CLOUD;1
679;GOOGLE-CLOUD;1
682;GOOGLE-CLOUD;1
684;GOOGLE-CLOUD;1
